age,family_size,dependents,monthly_income,total_savings,property_value,has_disability,medical_severity,employment_status,label
78,2,0,16328,563163,0,0,5,Unemployed,0
37,3,2,23335,138574,0,0,8,Student,0
74,3,1,3639,536786,0,0,9,Employed,1
42,2,1,32511,1282753,0,0,9,Retired,0
42,6,5,21609,673716,0,0,7,Unemployed,1
37,4,0,41914,166865,0,0,1,Unemployed,0
83,7,0,12907,7034,0,0,0,Employed,0
69,8,1,22738,197669,2548938,0,2,Student,0
53,5,1,32412,231741,0,1,3,Unemployed,0
42,3,0,8689,662752,1795690,0,5,Retired,0
69,4,3,24227,1491202,1869929,0,1,Student,0
45,4,2,44724,840808,1053275,0,8,Unemployed,0
76,4,1,3680,1298804,2968996,0,7,Retired,0
83,5,1,2445,1100159,0,0,8,Retired,1
74,4,0,24338,1352570,752444,1,2,Retired,0
49,6,2,41196,1428072,0,0,6,Student,0
64,3,0,2979,1341434,0,0,2,Employed,1
33,2,1,6847,1473528,1264804,1,3,Employed,1
66,5,1,13842,1487427,0,0,8,Student,0
28,7,3,23903,558493,0,0,0,Employed,0
24,4,2,24896,1330194,0,0,9,Student,0
21,3,1,22043,1049995,1895502,0,3,Retired,0
79,4,3,39673,1433455,0,1,1,Employed,0
72,4,0,14376,739621,0,1,8,Retired,1
37,3,0,15227,1365904,1762952,0,8,Unemployed,0
44,6,1,26523,8365,0,0,1,Retired,0
73,1,0,21278,215490,0,0,0,Student,0
26,6,4,41563,86029,0,0,3,Unemployed,0
82,2,1,14954,533250,0,0,2,Unemployed,0
79,1,0,27202,136851,2049494,0,7,Retired,0
31,2,1,4208,88991,0,0,0,Employed,1
22,8,2,8438,1290268,0,0,6,Unemployed,1
54,4,1,33657,1402340,1043961,1,7,Student,0
54,4,2,17356,1109587,0,0,9,Unemployed,0
52,2,0,38210,1362753,1793786,0,1,Retired,0
18,1,0,23594,68629,0,0,9,Retired,0
46,1,0,23106,70163,1085144,0,9,Retired,0
82,5,2,3405,312279,0,0,9,Student,1
56,4,3,34399,170838,0,0,8,Unemployed,0
51,8,5,18439,1187559,2095826,0,6,Retired,0
24,6,5,36590,103588,1167303,0,8,Unemployed,0
77,4,3,17742,675230,0,0,9,Student,0
53,1,0,20066,1196655,0,0,6,Unemployed,0
44,6,1,3280,974931,0,0,7,Retired,1
72,4,1,32115,942654,799442,1,8,Student,0
28,5,0,39842,1211120,0,0,10,Unemployed,0
29,7,6,5951,63991,0,0,1,Employed,1
49,5,3,3960,1196841,0,0,5,Employed,1
82,2,1,20287,574088,0,0,6,Unemployed,0
73,7,1,43344,505187,0,0,6,Retired,0
56,8,3,4812,1039740,0,0,3,Employed,1
79,7,3,13939,1270630,0,0,5,Unemployed,1
79,4,2,6276,1426507,2856750,0,2,Retired,0
34,7,3,38568,564360,2014015,0,10,Retired,0
73,8,7,28701,241564,0,1,10,Student,1
21,2,0,44785,1242620,0,0,3,Unemployed,0
27,7,3,2714,1133561,0,1,0,Retired,1
49,7,5,44712,1238639,0,0,10,Employed,0
84,7,1,19459,1388632,0,0,2,Student,0
47,7,2,37053,22891,0,0,9,Student,0
71,6,4,38934,112211,0,0,10,Retired,0
52,3,1,26866,359973,565822,0,4,Unemployed,0
61,4,0,27238,938634,0,0,1,Student,0
80,8,7,3946,1369353,2511762,0,6,Retired,0
25,3,0,11946,240697,0,0,7,Unemployed,0
71,3,0,32247,1364153,0,0,2,Unemployed,0
25,5,4,7216,422539,880310,0,6,Student,1
33,6,3,8370,1208358,0,1,0,Retired,1
55,3,1,26897,993726,0,0,5,Retired,0
21,1,0,30778,1102995,0,0,5,Unemployed,0
48,6,0,35683,256453,0,0,4,Student,0
64,8,2,2871,90675,1969319,0,2,Student,0
24,1,0,5649,1156575,0,0,7,Employed,1
70,5,0,22126,452393,0,0,1,Student,0
68,7,5,5734,1497698,2268623,0,6,Retired,0
65,1,0,23184,1182466,1006417,0,10,Student,0
73,6,2,44070,1499788,0,0,0,Employed,0
81,1,0,31627,329833,1033972,0,2,Retired,0
65,8,4,34329,369010,1341971,0,7,Student,0
53,6,2,14147,635228,0,0,7,Unemployed,1
51,1,0,16600,1026881,1048216,0,1,Employed,0
24,8,3,4754,1145787,0,0,6,Unemployed,1
51,5,4,4861,601287,0,0,8,Retired,1
20,8,6,18132,771372,0,1,6,Unemployed,1
31,8,3,34714,1417623,0,1,6,Employed,0
25,2,0,20247,726898,829100,0,4,Retired,0
51,7,3,30522,189698,2035823,0,6,Student,0
55,3,1,20824,515431,2028983,0,7,Employed,0
81,8,0,3521,1103395,0,0,9,Student,1
33,8,2,28412,1037133,0,0,2,Unemployed,0
60,1,0,44707,1452312,2562828,0,0,Student,0
49,2,1,37887,1379259,0,0,7,Employed,0
84,7,2,13474,906298,0,0,8,Employed,1
73,3,1,44608,415021,0,0,10,Unemployed,0
68,6,4,31512,1477803,1769001,0,2,Student,0
62,8,2,18509,315071,0,0,6,Unemployed,0
55,8,0,39242,1403976,0,0,6,Student,0
41,7,2,9960,1055563,0,0,2,Employed,1
83,5,2,17821,1495378,0,0,3,Unemployed,0
68,2,1,22337,756257,0,0,3,Retired,0
65,7,0,36937,263258,0,0,3,Student,0
25,4,0,8264,94251,0,0,0,Employed,1
31,3,1,7965,1182038,0,0,6,Student,1
21,6,0,19407,903635,0,0,9,Unemployed,0
48,5,4,3128,745042,0,0,2,Retired,1
32,1,0,36902,380947,0,1,3,Employed,0
20,4,1,42893,444903,0,1,4,Retired,0
32,1,0,23631,49188,0,1,6,Student,0
21,3,2,17420,615620,0,0,3,Retired,0
83,8,6,8868,894893,0,0,3,Student,1
22,2,1,22924,1494778,0,1,8,Student,0
56,4,1,9952,649828,2350666,0,5,Student,0
68,3,0,8766,262373,0,0,3,Unemployed,1
29,5,0,19233,676557,0,1,4,Unemployed,0
47,1,0,38509,1381206,884023,0,7,Retired,0
71,2,1,30039,1192466,0,0,2,Unemployed,0
75,7,5,12331,606927,0,0,6,Student,1
51,8,4,12406,1443289,0,0,9,Student,1
37,4,1,20343,117708,0,0,1,Retired,0
38,7,4,19240,43990,0,1,0,Retired,1
56,7,3,6460,451604,0,0,4,Student,1
26,4,1,31863,619811,0,1,7,Employed,0
20,4,3,34769,126176,0,0,8,Unemployed,0
36,8,1,24604,1460547,0,0,3,Unemployed,0
59,4,3,13324,335803,0,0,6,Unemployed,1
57,8,7,33010,316736,0,0,5,Retired,0
39,8,0,28566,1447336,0,0,8,Unemployed,0
30,7,4,24648,991031,0,0,4,Retired,0
46,1,0,43250,1427414,0,0,7,Student,0
83,4,2,6288,1256069,0,0,3,Unemployed,1
82,7,3,23967,602055,0,0,4,Retired,0
71,6,4,39421,106374,1124527,0,6,Retired,0
59,5,0,16124,401029,2566079,0,3,Unemployed,0
32,4,1,25927,1066208,0,0,7,Employed,0
48,7,3,22214,1392087,0,0,2,Employed,0
58,6,1,29354,1060428,0,0,3,Unemployed,0
26,6,3,37864,643355,0,0,5,Employed,0
71,3,0,36035,546316,0,0,9,Student,0
78,4,2,37512,962677,0,1,4,Employed,0
62,4,0,22622,482588,1842820,0,0,Student,0
79,3,2,9763,577593,0,0,0,Student,1
35,6,2,11546,673968,0,0,3,Unemployed,1
34,1,0,38256,1244791,0,0,0,Unemployed,0
54,5,2,38776,569352,2249504,0,5,Student,0
32,3,1,13220,348634,0,0,3,Retired,0
49,3,2,35928,1078807,0,0,7,Employed,0
55,8,1,5052,1030600,1275474,0,3,Employed,0
54,8,6,8055,116951,581408,0,10,Student,1
67,5,2,14241,238465,0,0,2,Student,1
72,1,0,7279,1305478,0,0,5,Student,1
58,6,0,42211,258806,0,1,10,Unemployed,0
56,3,2,15622,1136543,0,0,0,Student,0
59,7,0,19575,436516,0,0,6,Employed,0
34,3,0,10524,1192285,0,0,1,Unemployed,0
28,1,0,35278,1431346,0,0,2,Retired,0
66,7,2,28304,1334216,0,1,8,Student,0
60,5,2,40885,1396500,0,0,9,Employed,0
84,5,3,20054,400057,0,1,8,Unemployed,1
69,3,0,8152,353669,2925122,0,10,Employed,0
24,7,0,32561,954640,1603641,0,1,Retired,0
40,1,0,27428,694319,0,1,4,Unemployed,0
23,8,4,41311,544531,0,0,5,Unemployed,0
69,8,7,9040,1146726,0,0,3,Student,1
77,7,0,18923,1449480,0,0,9,Employed,0
83,8,6,2869,257776,0,0,1,Student,1
34,5,4,11597,458107,2762085,0,9,Employed,0
57,7,4,25276,586898,0,0,5,Unemployed,0
45,1,0,44603,580362,1228953,0,1,Student,0
49,7,1,5673,160937,1426132,0,4,Unemployed,0
53,2,0,19090,1431376,0,0,4,Unemployed,0
61,4,2,4580,751217,2804881,0,3,Employed,0
63,2,1,44835,1028605,0,0,4,Student,0
76,6,1,2484,789616,1278137,1,8,Student,1
68,2,0,41285,365068,0,0,5,Employed,0
79,8,3,31696,105573,2339913,0,0,Retired,0
22,7,4,5424,397600,0,1,6,Unemployed,1
78,8,0,28483,1091062,0,0,9,Retired,0
67,2,1,14865,57051,0,1,5,Student,1
57,7,5,6281,1022922,2690816,0,6,Retired,0
27,2,0,42135,92674,2885770,1,8,Retired,0
45,3,2,20392,1388940,0,0,10,Unemployed,0
60,1,0,2048,1422489,0,0,3,Employed,1
68,7,6,8699,23528,2834229,1,2,Unemployed,1
29,1,0,28815,641021,0,0,6,Retired,0
56,3,0,43724,649787,0,0,2,Student,0
31,1,0,19268,1475568,0,0,1,Unemployed,0
58,5,1,20956,891584,0,0,3,Employed,0
30,5,2,42028,395459,2839243,0,8,Employed,0
69,8,7,16930,978989,1726801,0,6,Student,0
60,8,5,24173,208154,0,0,5,Employed,0
72,8,0,38181,1302665,509444,0,9,Retired,0
66,8,7,11102,1008860,0,0,3,Student,1
61,5,2,24018,1470634,0,0,10,Retired,0
40,2,1,37515,315922,0,0,1,Student,0
79,5,1,39170,542582,0,0,1,Retired,0
47,3,0,4919,308465,0,0,10,Employed,1
41,7,2,23201,207607,0,0,3,Retired,0
83,7,2,33373,232529,1881413,0,10,Retired,0
67,7,0,42251,180982,0,0,10,Student,0
36,4,3,15279,300939,1391608,0,5,Unemployed,0
81,3,2,19206,131856,0,0,5,Student,0
60,5,0,39459,266351,0,0,2,Student,0
50,3,2,27004,1178453,0,0,9,Unemployed,0
53,8,6,7312,559345,0,0,10,Student,1
67,5,2,7977,1031722,0,0,1,Unemployed,1
27,5,2,14108,23824,0,0,9,Student,1
31,6,3,2881,387152,0,0,3,Unemployed,1
58,4,3,43464,984012,0,0,1,Unemployed,0
67,6,5,35538,1065879,0,0,6,Unemployed,0
65,5,4,26792,601492,0,0,2,Unemployed,0
67,4,2,5406,527494,0,0,1,Retired,1
55,5,0,28321,979128,0,0,3,Unemployed,0
46,3,2,27375,806135,942472,0,3,Student,0
72,1,0,30562,632818,971942,0,6,Student,0
69,5,0,29182,376303,1423547,0,10,Employed,0
49,6,3,4760,472973,0,0,0,Retired,1
44,4,0,5446,862056,0,0,4,Student,1
21,4,0,14142,651801,2687885,0,9,Retired,0
39,4,1,22913,943076,0,0,6,Student,0
85,4,1,11042,952301,0,0,4,Student,1
36,5,3,27376,1003451,0,1,0,Retired,0
76,1,0,29409,914243,0,0,1,Employed,0
84,8,0,2650,154600,0,0,4,Retired,1
36,7,2,44457,951884,0,0,2,Employed,0
84,2,0,14792,275460,0,0,2,Student,0
44,8,1,31932,1304019,0,0,3,Employed,0
45,4,1,17141,467083,0,1,9,Employed,1
43,4,1,13819,1335304,0,0,1,Employed,0
64,6,1,40598,591306,0,0,7,Retired,0
34,4,0,41732,1074755,2882325,0,3,Retired,0
24,3,1,7904,453889,0,0,9,Retired,1
77,7,1,23588,126003,0,0,5,Retired,0
69,6,1,3311,1496772,0,0,7,Retired,1
78,4,1,8509,1120364,0,0,0,Retired,1
35,5,0,33991,511851,0,1,6,Student,0
22,5,2,32796,1062596,0,1,4,Student,0
65,1,0,14677,960470,1145262,0,1,Unemployed,0
64,6,0,7311,978830,1133889,0,1,Retired,1
36,2,1,28014,1330272,1740319,1,10,Retired,0
76,2,1,17667,478808,0,0,7,Student,0
70,7,5,10376,1337040,2043403,0,6,Employed,0
57,1,0,29941,1151793,2632196,0,0,Unemployed,0
30,7,1,14181,175217,2520527,0,0,Retired,0
50,7,3,9340,843368,2134513,0,7,Employed,0
23,2,0,9759,160391,876487,0,4,Unemployed,1
45,4,3,7582,449339,0,0,4,Unemployed,1
73,8,6,25073,1106026,0,0,6,Retired,0
40,2,1,12204,726931,0,0,9,Student,1
32,3,0,31629,95267,758782,0,4,Retired,0
71,8,3,30801,1088941,0,0,7,Unemployed,0
48,2,0,26628,945514,2333832,1,6,Retired,0
63,5,1,7339,611025,2473341,0,1,Unemployed,0
62,7,4,41974,750298,0,1,7,Unemployed,0
59,6,3,33329,1476920,0,0,2,Retired,0
24,5,3,4442,1206362,0,0,7,Employed,1
52,2,0,21789,619193,0,0,0,Student,0
46,4,1,8114,651996,0,0,5,Unemployed,1
81,3,1,36371,645297,0,0,1,Employed,0
85,2,1,28332,68897,1930182,0,3,Unemployed,0
62,8,5,14037,1031174,0,0,8,Student,1
61,7,1,10373,1001416,2482836,0,4,Retired,0
44,7,4,23713,300459,0,0,4,Student,0
85,2,1,28459,1393477,0,0,6,Retired,0
44,6,0,15673,884353,2227879,1,3,Employed,0
51,6,1,2437,404753,0,1,7,Unemployed,1
27,8,5,16283,573871,0,1,2,Employed,1
67,7,1,24475,371376,0,0,7,Unemployed,0
39,4,3,3465,930848,0,0,2,Unemployed,1
84,7,2,13712,310445,0,0,0,Unemployed,1
85,8,7,44489,757083,0,0,5,Student,0
51,1,0,26497,367117,1864150,0,9,Employed,0
77,7,3,18949,1109898,0,0,9,Retired,0
25,6,1,23672,39288,0,0,5,Retired,0
76,7,0,25177,171700,0,0,1,Retired,0
82,3,0,5158,110982,1667227,0,8,Employed,0
39,6,3,22265,1143372,0,0,9,Unemployed,0
34,2,1,39967,1463419,1764993,0,7,Employed,0
79,1,0,17162,521037,0,1,2,Student,0
77,5,3,13755,439487,0,1,1,Retired,1
24,7,4,2109,807850,0,0,6,Unemployed,1
42,5,2,44684,850468,0,0,7,Student,0
29,7,6,16306,714397,0,0,5,Employed,1
76,2,1,10187,1494244,2596898,0,5,Retired,0
54,4,2,18874,472142,859903,0,2,Student,0
18,4,0,43576,497987,0,0,5,Employed,0
38,5,4,40197,563105,1565509,0,8,Employed,0
77,8,1,15477,104149,0,0,0,Retired,0
33,1,0,18382,919446,0,0,9,Student,0
25,7,0,22114,1138063,872491,0,8,Student,0
34,7,2,21894,934280,2751530,0,10,Retired,0
22,7,4,9679,325169,2293466,0,9,Employed,0
54,6,0,20993,166612,0,0,0,Employed,0
30,5,3,30952,781044,0,0,10,Employed,0
41,8,1,12362,528554,0,0,9,Retired,1
35,7,2,35241,226044,1138781,1,0,Employed,0
55,8,5,39420,222183,0,0,3,Retired,0
50,7,4,31170,1304193,0,0,4,Retired,0
33,1,0,38505,87519,2842932,0,6,Student,0
59,6,0,32602,1416352,2242775,0,2,Retired,0
64,6,5,35593,552074,0,0,0,Retired,0
60,6,1,9013,604789,0,0,2,Retired,1
45,5,4,18511,387959,555670,0,5,Unemployed,1
53,5,1,17469,948969,0,0,2,Retired,0
46,3,2,36621,340962,1403452,0,7,Student,0
37,2,0,21523,636382,0,0,7,Student,0
81,3,0,34466,1060055,1620682,0,1,Employed,0
31,1,0,14142,274298,0,0,10,Unemployed,0
19,5,0,42539,1214269,0,1,0,Employed,0
41,7,0,12048,1479451,1765467,0,6,Retired,0
69,7,3,39273,1273299,0,0,1,Employed,0
82,2,0,18219,402632,0,0,7,Employed,0
46,7,2,37682,983538,2665499,0,5,Employed,0
78,7,6,15847,704504,0,0,10,Student,1
22,6,4,29583,752108,0,0,6,Retired,0
27,1,0,16171,255957,0,0,3,Retired,0
82,1,0,21571,267399,1135024,0,10,Student,0
43,4,0,13273,265404,0,0,0,Student,0
70,1,0,32756,620255,0,0,1,Retired,0
65,7,2,38093,1120349,0,0,0,Student,0
84,1,0,12654,1290691,0,0,9,Retired,0
25,7,2,32510,547984,0,1,8,Retired,0
25,7,0,24752,978665,1188120,0,0,Student,0
67,6,5,44771,1074606,2491067,1,9,Retired,0
61,5,0,2812,1236598,0,0,9,Student,1
41,5,0,28894,1112943,0,0,8,Student,0
21,3,1,13231,1009566,0,0,9,Unemployed,0
31,6,0,25205,1152897,2804180,0,0,Unemployed,0
47,1,0,22847,1061474,0,1,1,Employed,0
35,1,0,22678,1170129,0,1,0,Unemployed,0
49,5,3,18775,976418,0,0,6,Retired,0
74,1,0,23411,533601,0,0,0,Student,0
48,3,1,6633,1306208,0,0,8,Unemployed,1
85,1,0,36532,1414150,0,0,8,Retired,0
29,5,0,26342,392837,0,0,7,Unemployed,0
41,4,1,43354,898756,0,0,0,Employed,0
44,1,0,33093,711456,0,0,9,Employed,0
34,8,5,5676,299692,1422843,0,9,Unemployed,0
34,5,0,3598,333343,0,0,6,Unemployed,1
24,5,4,22679,1345961,0,1,8,Employed,1
27,8,0,12674,858449,0,0,4,Student,0
78,1,0,35512,1257396,0,0,4,Unemployed,0
29,3,2,7099,99941,0,0,1,Student,1
78,6,5,34629,925764,1542307,1,8,Unemployed,0
19,2,1,35981,851366,0,0,10,Student,0
38,8,4,28027,206824,0,0,8,Retired,0
80,8,0,28645,864015,1321590,0,9,Employed,0
49,7,5,32472,1268607,0,0,7,Student,0
34,7,1,8828,499706,2674626,0,3,Employed,0
50,1,0,29023,1030311,0,0,9,Unemployed,0
28,1,0,23833,1306629,0,0,6,Unemployed,0
30,7,3,28251,1457145,898578,0,3,Retired,0
64,5,3,33816,232922,0,1,9,Student,0
76,6,1,42036,1093529,0,0,4,Unemployed,0
22,1,0,18862,807890,2735416,0,0,Retired,0
63,3,1,31181,1091819,0,0,5,Student,0
34,1,0,27097,877785,0,0,9,Student,0
46,8,0,12222,523901,0,0,5,Unemployed,0
54,6,1,14769,948037,1564806,0,5,Student,0
71,6,1,2148,623358,0,1,0,Employed,1
22,4,2,7520,1206653,0,0,0,Student,1
84,1,0,31144,1139839,0,0,3,Retired,0
26,7,0,25325,908078,1361313,0,3,Retired,0
41,4,2,43894,1389565,0,0,4,Unemployed,0
39,3,2,6310,133613,0,0,10,Student,1
78,8,1,10905,1222282,0,0,5,Retired,1
65,4,3,30216,1166154,1547115,0,6,Unemployed,0
54,7,0,36039,803275,0,0,6,Retired,0
48,8,4,23893,826771,2351785,0,9,Retired,0
29,5,2,11969,126503,0,0,3,Unemployed,1
20,7,5,16655,66975,1438274,0,10,Retired,0
35,8,1,6279,522456,0,0,5,Retired,1
55,8,7,28311,434476,2871713,0,5,Unemployed,0
52,3,0,6787,279606,0,0,8,Unemployed,1
80,8,1,40254,1344844,0,0,6,Unemployed,0
22,8,7,19728,214399,878330,0,0,Retired,1
61,2,1,37159,749161,695152,0,3,Unemployed,0
82,2,1,18490,961788,2317698,0,9,Retired,0
68,6,0,5368,1284898,0,1,5,Employed,1
43,3,0,27862,692616,0,0,0,Unemployed,0
23,5,2,25215,1311886,0,0,1,Employed,0
34,6,2,13796,578404,1064414,1,0,Retired,1
83,3,0,30311,978237,0,0,9,Student,0
73,4,1,29263,1101700,0,0,0,Employed,0
49,6,4,10943,1075833,0,0,10,Student,1
75,4,0,33150,789422,0,0,3,Unemployed,0
56,8,1,30832,1115793,0,0,2,Employed,0
52,8,4,44154,92260,0,0,5,Retired,0
82,6,3,34357,1078961,0,0,8,Student,0
30,2,1,11634,674060,0,0,1,Unemployed,1
41,7,0,39320,188301,0,0,0,Student,0
71,4,0,2133,820983,0,0,0,Unemployed,1
53,6,2,36233,870658,0,0,10,Employed,0
64,8,4,44547,66616,0,0,5,Unemployed,0
58,1,0,17898,870249,0,0,6,Employed,0
61,7,3,24945,663049,0,0,0,Student,0
81,6,0,30743,924301,0,0,10,Employed,0
68,2,0,6570,1473903,1420383,0,1,Employed,0
68,7,1,32182,1447239,0,0,2,Unemployed,0
50,1,0,21151,874224,0,0,2,Employed,0
52,1,0,32434,1069011,0,0,9,Student,0
50,4,3,24619,353701,0,0,2,Student,0
61,2,0,14986,696469,0,0,6,Unemployed,0
20,8,3,34818,1025156,0,0,9,Student,0
78,4,2,35465,635531,0,0,9,Student,0
33,1,0,44476,1280659,0,1,9,Student,0
79,3,1,10055,381116,0,0,6,Retired,1
83,8,5,39252,161785,1388352,1,5,Unemployed,0
67,5,0,6543,1218798,0,0,6,Unemployed,1
55,8,6,21925,537483,0,1,4,Unemployed,1
21,7,4,23498,1388847,0,0,9,Employed,0
18,8,0,44869,474973,0,0,3,Retired,0
49,5,2,21564,157325,1999926,0,4,Employed,0
84,5,1,29314,597170,0,0,1,Employed,0
78,3,0,43997,267538,0,0,10,Employed,0
54,4,3,15899,1338503,0,0,0,Employed,1
82,7,1,17118,1413736,0,0,9,Retired,0
53,4,2,36842,1308854,628450,0,8,Student,0
72,6,5,31590,255361,0,0,5,Student,0
42,2,0,15201,1214303,0,1,5,Unemployed,0
21,7,1,37221,823681,0,0,7,Student,0
37,8,2,4012,703448,2044885,1,6,Unemployed,1
65,1,0,28411,52,0,0,10,Student,0
21,2,1,32406,726253,0,0,10,Unemployed,0
40,5,2,20367,308631,0,0,2,Unemployed,0
84,2,0,44050,1339152,1932731,0,2,Retired,0
36,5,2,3276,422017,1529310,1,2,Unemployed,1
77,6,0,2465,544488,0,0,10,Unemployed,1
62,5,4,3566,1260623,0,0,5,Unemployed,1
46,1,0,6524,133733,0,1,4,Retired,1
34,3,1,40747,238860,2748987,0,0,Unemployed,0
70,6,0,28919,574586,2347890,1,6,Student,0
41,8,6,17044,917577,1440425,1,2,Unemployed,1
22,6,3,19012,591280,0,0,7,Student,0
36,6,5,38427,460259,1173816,0,4,Employed,0
29,6,2,33037,317047,0,0,4,Student,0
76,8,2,10250,1485003,0,0,4,Unemployed,1
30,2,0,16057,805532,1263159,0,7,Student,0
53,6,5,21413,405305,0,0,6,Student,1
35,1,0,30256,226952,0,0,5,Retired,0
35,7,3,25253,1270281,1673114,0,7,Retired,0
81,8,3,21673,1386379,1984633,0,0,Retired,0
32,5,0,37884,140282,512873,0,2,Student,0
71,7,4,27011,511708,0,1,3,Student,1
51,5,0,7652,1268647,0,0,0,Student,1
61,4,2,15449,556418,0,1,10,Employed,1
41,1,0,36638,742660,0,0,8,Student,0
45,1,0,29711,1002937,0,0,10,Employed,0
80,4,3,24886,1074791,0,0,0,Retired,0
48,3,1,13440,864700,0,0,9,Employed,0
33,1,0,15132,133824,0,0,0,Employed,0
29,8,1,11215,220634,2384177,0,6,Employed,0
47,3,2,8804,246861,0,0,5,Employed,1
84,4,3,43831,191134,2286546,0,7,Retired,0
61,2,1,34843,898511,0,0,7,Unemployed,0
34,4,3,14530,852802,1819493,1,1,Employed,1
55,3,1,8518,230015,2465761,0,8,Unemployed,0
61,3,0,27371,1154255,0,0,6,Employed,0
56,2,1,44381,382696,0,0,4,Retired,0
33,5,1,40876,532018,2944035,1,8,Retired,0
24,8,3,23584,484116,1890067,0,5,Student,0
80,6,5,26477,1300409,0,0,2,Employed,0
64,8,6,19395,1197467,0,0,10,Student,1
48,6,4,16196,1063796,1739276,1,9,Retired,1
23,4,3,3040,984063,0,0,9,Student,1
34,5,4,23050,178962,0,0,7,Employed,0
72,2,0,42551,966373,0,0,6,Student,0
83,2,1,18492,585007,0,0,5,Employed,0
26,6,1,28826,225167,1788737,0,7,Employed,0
33,2,1,11601,308903,1933930,1,0,Student,1
48,5,1,23231,720884,1319522,0,9,Unemployed,0
39,4,1,17519,544522,0,0,8,Employed,0
34,6,1,29264,995278,966781,0,5,Employed,0
72,7,2,11849,122585,0,0,3,Unemployed,1
70,1,0,34884,1118553,0,0,0,Student,0
85,8,3,23111,881090,0,0,9,Employed,0
57,6,1,28351,1327066,0,1,7,Student,0
66,2,1,7716,320301,0,0,1,Retired,1
83,2,1,16017,110661,0,0,8,Unemployed,0
63,7,1,17490,1193930,2532616,1,7,Unemployed,1
22,5,1,21266,232527,1509154,0,1,Student,0
19,5,4,16068,702052,0,0,9,Retired,0
50,3,1,38041,954695,528557,0,8,Unemployed,0
25,8,5,29975,852436,1453033,1,9,Employed,1
69,7,3,16933,584620,0,0,2,Retired,1
21,1,0,15140,1327473,2208958,0,7,Retired,0
22,7,0,21563,1297692,1594019,1,4,Retired,0
59,4,0,15058,368438,0,0,9,Retired,0
72,7,4,22016,743648,1239286,0,3,Retired,0
82,6,2,29591,1299295,0,1,2,Student,0
72,7,5,25352,746082,0,1,2,Employed,1
69,3,0,42470,379050,0,0,6,Employed,0
25,3,0,20770,465959,0,0,8,Student,0
37,1,0,16289,278406,0,0,8,Student,0
33,5,2,27105,125662,0,0,2,Unemployed,0
30,8,7,40105,722801,0,0,1,Unemployed,0
28,1,0,41138,749107,2813307,0,0,Employed,0
66,8,6,43027,177069,2435974,0,9,Student,0
69,3,1,9138,130081,0,0,7,Retired,1
25,6,1,24936,969689,0,0,0,Retired,0
83,5,2,43235,1320147,0,0,8,Unemployed,0
23,2,0,40003,563175,0,0,2,Employed,0
40,3,2,20449,783027,1832650,0,0,Student,0
61,3,2,17538,524330,1877900,0,4,Unemployed,0
49,2,0,29821,751467,0,0,8,Student,0
42,2,0,34878,930104,1833726,1,5,Unemployed,0
38,8,1,20729,809153,0,0,8,Employed,0
23,2,0,15896,432449,0,0,7,Retired,0
